  algeq-simplified1.bel#mstep_app    no proof found (calls=3682)
  algeq-simplified1.bel#trans1'       4877 calls  198 chars  -> PASS
  algeq-simplified1.bel#closed       no proof found (calls=258)
  algeq-simplified1.bel#confluence   no proof found (calls=?)
  algeq-simplified1.bel#neutral_mstep no proof found (calls=285)
  algeq-simplified1.bel#determinacy' no proof found (calls=64)
  algeq-simplified1.bel#algEqRTrans  no proof found (calls=3773)
  algeq-simplified1.bel#logEqTrans   no proof found (calls=165)
  algeq-simplified1.bel#wknLogEqSub  no proof found (calls=125)
  algeq-simplified1.bel#logEqSubSym  no proof found (calls=63)
  algeq-simplified1.bel#idLogEqSub   no proof found (calls=301)
  algeq-simplified1.bel#completeness no proof found (calls=?)
  algeq-typing.bel#logEq_Monotone    no proof found (calls=155)
  algeq-typing.bel#reflect           no proof found (calls=122)
  algeq-simplified1.bel#logEqSubTrans no proof found (calls=160)
  algeq-simplified1.bel#thm          no proof found (calls=?)
  algeq-typing.bel#trans1'            4877 calls  198 chars  -> PASS
  algeq-typing.bel#mstep_app         no proof found (calls=3682)
  algeq-typing.bel#closed            no proof found (calls=258)
  algeq-typing.bel#logEqSym          no proof found (calls=213)
  algeq-typing.bel#confluence        no proof found (calls=?)
  algeq-typing.bel#neutral_mstep     no proof found (calls=285)
  algeq-typing.bel#determinacy'      no proof found (calls=64)
  algeq-typing.bel#algEqRTrans       no proof found (calls=3773)
  algeq-typing.bel#lookup            no proof found (calls=113)
  algeq-typing.bel#thm'              no proof found (calls=144)
  algeq-typing.bel#dtp1              no proof found (calls=undefined)
  algeq-typing.bel#logEqTrans        no proof found (calls=165)
  algeq-typing.bel#logEqSubSym       no proof found (calls=83)
  algeq-typing.bel#idLogSub          no proof found (calls=undefined)
  algeq-typing.bel#logEqSubTrans     no proof found (calls=549)
  weak-norm-closed-ideal.bel#lookup  no proof found (calls=82)
  weak-norm-closed-ideal.bel#eval    no proof found (calls=113)
